StepzSync Translation Summary,
,
Extraction Date:,2025-10-30
Total Strings Found:,3734
Files Processed:,196
,
Strings by Category:,Count
Authentication,206
Profile & Settings,184
Race Management,497
Active Races,123
Social Features,168
Leaderboard & Stats,34
Home & Navigation,191
Dialogs & Popups,139
Subscription/Premium,106
Errors & Validation,42
Admin Dashboard,109
Common/Shared,1935
,
Translation Progress Tracker:,
(Update this as you complete translation),
,
Category,Total Strings,Translated,Progress %
Authentication,206,0,0%
Profile & Settings,184,0,0%
Race Management,497,0,0%
Active Races,123,0,0%
Social Features,168,0,0%
Leaderboard & Stats,34,0,0%
Home & Navigation,191,0,0%
Dialogs & Popups,139,0,0%
Subscription/Premium,106,0,0%
Errors & Validation,42,0,0%
Admin Dashboard,109,0,0%
Common/Shared,1935,0,0%
